X.ID_REF	IDENTIFIER	GSM1356340	GSM1356341	GSM1356342	GSM1356328	GSM1356329	GSM1356330	GSM1356331	GSM1356332	GSM1356333	GSM1356334	GSM1356335	GSM1356336	GSM1356337	GSM1356338	GSM1356339	GSM1356325	GSM1356326	GSM1356327
1766876_s_at	yejG	10.4498	10.873	10.073	10.2694	10.3057	10.3723	13.1372	12.8588	12.7685	11.7992	12.1895	12.16	10.5879	10.6228	10.5449	11.5786	11.5465	11.3257
1767596_s_at	yejH	9.76998	9.37358	9.32781	9.24544	9.20961	9.24677	7.81309	8.23477	8.31958	9.29805	9.31262	9.26197	9.71958	9.79482	9.60246	9.52245	9.56712	9.49127
1760859_s_at	yejK	11.568	11.7645	11.6662	11.596	11.6268	11.6565	10.969	11.0318	10.755	11.1493	11.1179	11.0705	11.5637	11.5444	11.4712	10.9298	11.084	11.0769
1762754_s_at	yejL	12.6509	12.5713	12.9359	12.9538	12.8836	12.8558	12.6733	12.5778	12.6009	12.8418	12.8417	12.8688	12.1948	12.1825	12.0692	11.8995	11.9391	11.9531
1764900_s_at	yejM	11.0605	10.9972	11.2581	11.3881	11.356	11.4996	9.97772	10.3226	10.1067	10.8275	10.6978	10.8786	10.8497	10.8022	10.771	10.6172	10.6193	10.8667
1760612_s_at	yejO	8.59285	8.7015	8.63304	8.5546	8.52745	8.66953	9.64922	9.42663	9.40178	8.86879	8.98015	9.09884	7.98631	7.65437	7.77067	8.716	8.67979	8.59137
1759722_s_at	yfaA	6.80052	6.63541	6.67854	6.817	7.01344	6.95575	6.48731	6.12878	5.91059	6.77178	6.14624	6.65535	6.0252	6.28768	6.19929	7.01045	6.53742	6.5646
1761139_s_at	yfaE	10.8355	11.0598	10.8946	10.8699	10.9798	11.0108	8.81704	9.09188	8.26546	9.70356	9.54347	9.52505	13.3766	13.4861	13.3101	10.6864	10.8204	10.7791
1760466_at	yfaL	6.73771	7.01055	7.15412	6.88752	6.90927	6.86429	6.68881	6.74458	6.75407	7.08616	6.46509	6.84264	7.82409	7.60463	7.82094	6.90927	7.14749	6.94743
1766362_s_at	yfaO	9.2587	9.45996	9.35111	9.39912	9.35846	9.49687	9.2757	9.23467	9.29893	9.90651	9.97875	9.78626	8.94419	8.92918	8.59957	9.78006	9.63608	9.78034
1767076_s_at	yfaP	7.11753	7.12885	6.94207	6.81207	6.92663	6.91923	6.7296	7.12616	7.43638	6.83854	7.15263	7.15166	6.91923	7.06598	7.00918	7.13626	6.97114	6.88551
1760693_s_at	yfaQ	6.33474	6.25834	6.28173	6.00549	6.23758	6.07914	6.64369	6.62797	6.79574	6.32938	6.2761	6.31022	6.13703	5.73638	5.56261	6.55672	6.21345	6.46024
1762599_s_at	yfaS	6.43177	6.42755	6.83502	6.67896	6.34103	6.3749	6.89799	7.05554	7.12943	6.48105	6.76054	6.55422	6.83103	6.31687	7.18215	6.90722	6.52762	6.74879
1765691_s_at	yfaT	5.87114	5.74073	5.65885	5.45679	5.83552	5.72844	6.11568	5.82371	5.62866	5.66191	5.41474	5.24267	5.40297	5.19537	5.01412	6.31424	5.65885	5.6057
1759477_s_at	yfaU	8.26028	8.05836	8.05817	7.98442	8.02379	8.12993	8.28719	8.325	8.11661	7.87016	7.84708	7.84835	7.87459	7.75641	7.64766	8.13316	7.92983	8.02803
1762382_s_at	yfaV	6.72051	6.25518	6.19063	6.16888	6.35398	6.2999	6.60133	6.61886	6.74238	6.34155	6.33341	6.43576	6.24048	6.30244	6.48082	7.09958	6.34454	6.61762
1766265_s_at	yfaW	8.029	7.67516	7.61892	7.71815	7.71484	7.64566	7.88476	7.98791	7.88997	7.31265	7.41239	7.30673	8.19397	8.20791	8.2256	8.37679	7.99871	8.07642
1760099_s_at	yfaX	6.68425	6.56756	5.70464	6.19406	6.18065	6.00734	6.55705	6.90012	6.90406	6.43506	6.49177	6.37847	7.03298	7.20689	7.20312	7.54717	7.48354	7.18467
1767529_at	yfaZ	5.11509	5.41144	5.4293	5.27623	5.29247	5.21735	5.02908	5.21735	5.46563	5.21735	5.003	5.15149	5.79486	5.95704	5.60241	5.07749	5.55737	5.53688
1759517_at	yfbB	4.92982	4.71369	4.56209	4.84056	4.62333	4.55702	4.5517	4.34794	4.52793	4.62222	4.48804	4.35297	5.27375	5.08635	5.04735	4.07728	4.76471	4.51195
1763735_s_at	yfbE	7.31085	7.1747	7.31645	7.10028	7.17408	7.0524	7.22751	7.5515	7.44229	7.63081	7.63515	7.70283	7.20464	6.84207	6.63865	7.05797	6.64884	7.10855
1763492_at	yfbG	5.22524	5.11743	5.14353	5.60128	5.28565	5.19307	4.85103	5.16471	4.99639	5.09252	4.6652	4.82173	5.50146	5.58808	6.0574	5.20902	5.27311	5.45062
1760890_s_at	yfbH	7.04938	6.72658	6.62074	6.75892	6.91318	6.74592	6.84451	6.58346	6.5152	6.74919	6.8973	6.831	5.53847	5.60412	5.21251	6.75251	6.39532	6.76247
1762394_s_at	yfbJ	7.52564	7.23058	6.95934	7.12233	7.23593	7.03625	9.28938	9.4366	8.37407	8.08508	8.20841	8.39538	7.47615	7.61686	6.7708	8.37685	8.13036	8.03991
1761581_at	yfbK	4.78419	4.81469	4.75874	4.87075	4.59298	4.5266	4.36805	4.60005	4.58213	4.75583	4.8323	4.5523	5.14752	5.19266	5.43221	4.69354	4.40666	4.57319
1765403_at	yfbL	4.91889	4.57793	4.50099	4.65203	4.56898	4.40432	4.51034	4.40432	4.53932	4.41687	4.41888	4.33072	4.40432	4.44118	4.49811	4.11785	4.1221	4.14993
1765204_s_at	yfbM	7.86362	7.9207	7.60808	7.41169	7.49255	7.37791	7.67954	7.7681	7.70819	7.37993	7.10582	7.12503	8.34042	8.24098	7.97756	9.15535	9.12804	8.94424
1759074_at	yfbN	6.03368	5.57091	6.01664	6.22838	6.47714	6.60681	6.66621	6.39449	6.67007	6.07183	5.86856	6.30241	4.42296	4.18601	4.3286	6.30017	5.2316	5.11888
1768293_at	yfbO	7.74634	7.68499	8.07095	7.97226	8.15021	8.29059	7.04421	7.09338	7.46853	7.84017	7.94375	8.15851	7.23107	7.28385	6.88982	8.24834	7.55461	7.35241
1768086_at	yfbP	7.42596	7.33032	7.56519	7.49665	7.64727	7.6178	7.39989	7.21629	7.22083	7.61728	7.64575	7.73048	6.24588	6.6817	6.183	6.80975	6.97937	6.90733
1767168_s_at	yfbR	9.89543	9.8133	9.71367	9.89695	9.98498	9.90601	9.61842	9.72635	9.54445	9.94407	9.9237	9.89821	10.1281	10.0666	9.88767	9.97684	10.0024	9.90733
1761262_s_at	yfbS	8.44667	8.62663	8.42663	8.4305	8.55641	8.42084	8.3086	8.40861	7.86521	8.53767	8.53676	8.55541	8.89796	8.91606	8.58793	10.5104	9.97969	10.1368
1764112_s_at	yfbT	11.2873	11.3965	11.3075	11.3697	11.3247	11.2421	11.8146	12.0158	11.8048	12.0346	12.0243	12.0574	11.4299	11.4812	11.4025	11.7376	11.5218	11.5167
1767029_s_at	yfbV	11.3316	11.2292	11.342	11.275	11.2973	11.2931	12.6654	12.5395	12.4403	11.8485	12.0961	11.9846	10.5864	10.5507	10.4418	11.2486	11.3123	11.2152
1760986_at	yfcA	4.05515	3.8763	4.09889	3.85956	4.18794	4.00629	3.75947	3.78747	3.85956	3.92642	3.76364	3.52712	3.85956	3.85956	4.29053	3.79146	4.08555	3.89001
1763788_s_at	yfcB	6.35732	6.48435	6.3307	6.40069	6.44266	6.23076	5.92011	5.63762	6.17758	6.0759	6.24598	5.92753	6.77276	6.93295	6.90069	5.9932	6.26076	6.2212
1762558_s_at	yfcC	7.17962	7.07507	6.73597	6.85072	6.69832	6.57626	6.68461	6.63123	6.61563	6.61203	6.40436	6.67869	7.27665	7.57673	7.25234	7.96144	7.56306	7.66068
1768632_s_at	yfcD	11.6953	11.8328	11.914	11.814	11.786	11.8503	11.8852	11.9037	11.7123	11.746	11.731	11.8358	12.6049	12.5674	12.5818	11.3716	11.4096	11.3514
1767465_s_at	yfcE	11.975	11.967	11.9701	11.8292	11.8047	11.8526	12.3884	12.5889	12.389	12.0279	12.0855	12.1097	13.1036	13.1619	13.1241	11.8605	11.7039	11.7211
1761668_s_at	yfcF	9.3066	9.35945	9.2828	9.1702	9.12995	9.13753	9.15683	9.19821	8.97477	9.46541	9.41036	9.3863	9.33988	9.32716	9.01313	9.4199	9.42957	9.3739
1762727_s_at	yfcG	7.26913	7.14893	6.62982	6.97042	6.92168	6.90424	6.7548	7.15401	6.84483	7.36434	7.16914	7.1663	7.36323	7.33345	7.14435	7.7433	7.46489	7.28742
1767434_s_at	yfcH	11.3928	11.319	11.2813	11.2617	11.3337	11.3181	12.1841	12.2438	12.0872	11.6384	11.7562	11.7756	11.2793	11.2261	11.1551	11.8805	11.6834	11.59
1763000_s_at	yfcI	8.68002	9.02069	8.77194	8.71719	8.70718	8.72266	10.0337	9.52803	10.3044	9.26814	9.25332	9.20511	7.55503	7.81357	7.432	9.65397	9.44186	9.4482
1762506_s_at	yfcL	11.1561	11.3694	11.5358	11.6331	11.6463	11.5924	9.27637	9.56142	9.11249	10.8741	10.5896	10.5484	9.89779	9.90886	9.43704	10.5272	10.4915	10.4607
1766632_s_at	yfcM	10.9705	10.9164	11.0354	11.255	11.2209	11.2755	8.87768	9.50848	9.32568	10.6141	10.4028	10.3492	9.94229	9.93843	9.79006	10.7135	10.5801	10.5761
1765632_at	yfcN	5.41757	5.93927	5.69315	5.79308	5.55829	5.70392	5.58546	5.82442	5.56659	5.40496	5.49899	5.70801	5.64171	5.65611	5.5734	5.24426	5.53482	5.49796
1765422_at	yfcO	9.73042	10.0652	10.0685	10.1912	10.259	10.2837	11.0985	10.8682	10.9474	10.5348	10.8139	10.8073	9.24451	9.19725	9.11798	10.0945	10.2426	10.1393
1764168_at	yfcP	6.07741	6.49437	6.40228	6.13032	5.94934	5.91061	5.9462	6.03572	6.29507	6.02081	6.17379	6.19484	6.54688	6.42791	7.04284	5.88122	6.04682	6.17994
1765556_at	yfcQ	4.3593	4.53029	4.32926	4.31073	4.40174	4.50577	3.90392	4.07028	4.37985	4.2546	4.38557	4.68189	4.99127	5.07633	4.86173	3.94029	3.9593	4.39204
1764377_at	yfcR	6.43412	6.98568	6.53388	6.61533	6.76049	6.6644	7.08458	6.73904	6.80034	6.6644	6.90304	6.65583	6.3534	6.517	6.22758	6.8072	6.76399	6.78225
1760293_s_at	yfcS	6.02288	5.76692	5.95938	5.66873	6.03999	5.90363	5.50192	5.80693	5.7824	5.93947	5.78951	5.65727	6.02511	5.92312	6.12391	5.86513	5.89282	5.96855
1764476_at	yfcU	5.46861	5.82382	5.92988	5.95879	5.70402	5.89904	5.34186	4.7716	5.01028	5.36865	4.73379	4.97388	5.79715	5.77942	5.82156	4.92918	5.50589	5.64018
1764005_at	yfcV	6.09172	5.93436	6.07716	5.9532	5.91767	5.9532	5.52883	5.61922	6.12725	5.92564	5.99962	6.07462	6.68274	6.62985	6.88234	5.61889	6.397	6.16542
1764893_s_at	yfcZ	10.6023	11.4174	10.7029	10.933	10.9416	10.7871	11.0236	11.0487	11.203	10.4562	10.2765	10.0109	11.535	11.3998	11.4772	11.9607	11.7111	11.7945
1763213_s_at	yfdC	7.67879	7.57525	7.71102	8.08448	8.05002	8.0864	7.86566	7.55551	7.71005	7.72853	7.68755	7.79907	7.07049	6.83054	6.65145	7.82091	7.86174	7.90333
1762478_s_at	yfdE	6.35712	5.79651	6.3482	5.72281	5.91353	6.00308	6.13061	5.6966	5.81036	6.02347	6.03196	6.07066	5.57284	5.65086	5.50149	6.78006	5.69535	6.00651
1762669_at	yfdF	6.89782	6.45355	6.45504	6.15274	6.45355	6.41218	5.61036	5.93442	5.56716	6.08093	5.72716	6.02581	6.25073	6.21345	5.84364	7.07298	6.52954	6.60285
1760590_at	yfdK	3.02058	2.71128	2.88526	2.84526	2.98368	2.90855	3.06472	3.12298	2.96533	2.84943	2.90658	2.67592	2.90512	3.19608	3.32722	2.68615	2.88526	2.859
1764246_at	yfdL	5.2872	5.08313	5.44699	5.50072	5.26679	5.15284	6.34043	6.69012	6.29541	5.82845	5.91734	6.00279	5.34859	5.18775	5.20119	6.49495	5.69086	5.68431
1760244_at	yfdM	6.51032	6.15655	6.41929	6.57636	6.26779	6.08702	6.5379	6.7043	6.66736	6.25081	6.182	6.20246	6.36302	6.54428	6.69551	7.09101	6.72639	6.6021
1760572_at	yfdN	6.21938	6.15706	5.99347	6.1411	5.85346	5.71327	6.79652	6.60313	6.53533	6.13523	6.21125	6.15446	6.48721	6.37662	6.98756	7.07002	6.84272	6.75701
1762330_s_at	yfdQ	8.41372	8.29298	8.16763	8.06671	8.23611	8.1576	8.57918	8.38227	8.43554	8.3019	8.2407	8.40906	7.85806	7.90933	7.65572	8.47181	8.30367	8.23573
1767561_at	yfdR	2.74925	3.08746	2.73738	2.81872	3.05959	2.80297	3.05929	2.95104	2.73122	3.13196	2.81404	2.74249	2.98613	2.97427	2.9672	2.83069	2.81967	2.86479
1761368_at	yfdS	5.82154	5.48334	5.6246	4.92668	4.98883	5.06586	6.25867	5.83972	6.18603	5.48191	5.48191	5.44169	4.37916	5.11069	5.19779	6.34427	4.95505	5.49985
1763989_at	yfdT	6.93089	6.91476	6.87553	6.80344	6.80803	6.80402	7.91129	7.70309	7.69318	7.10874	7.17897	7.15476	6.15216	5.97617	5.99768	7.4668	7.20288	7.07211
1759335_s_at	yfdV	6.31151	5.8684	5.65852	5.8132	5.49033	5.84069	6.37447	6.44756	6.13423	6.24887	6.20872	6.54555	5.26076	5.82372	5.82553	7.38114	6.31971	6.10633
1759089_s_at	yfdW	6.4667	6.40527	6.5183	6.2282	6.20054	6.33737	6.56395	6.51677	6.31428	6.46307	6.63627	6.56709	6.51544	6.20606	6.26214	6.93257	6.78029	6.86315
1766480_s_at	yfdY	9.21469	9.4964	8.71449	8.81995	8.84817	8.86848	11.5	11.23	11.3067	10.0453	10.2525	10.2814	9.14592	9.21069	9.11249	10.0964	9.94576	9.89113
1765287_at	yfdZ	6.37361	6.52937	6.45833	6.46924	6.32668	6.50322	6.04163	6.16606	6.44789	6.36233	6.36233	6.54566	6.52419	6.5896	7.04918	6.31633	6.07952	6.10856
1762119_s_at	yfeA	10.1052	9.89384	9.97188	9.9495	9.95814	10.0759	9.09015	9.35613	8.80956	9.60393	9.61623	9.89791	8.9072	9.17206	8.82888	9.54635	9.43546	9.50491
1761685_s_at	yfeC	10.8806	11.0196	11.0285	10.8388	10.847	10.9437	11.9245	11.8194	11.9212	10.8267	10.8536	11.0209	11.7019	11.6502	11.4166	12.0028	11.9397	11.9144
1767757_s_at	yfeD	3.72266	3.72192	3.43219	3.71854	3.76364	3.60735	3.57453	3.68739	3.45581	3.64949	3.64949	3.64949	3.80359	3.67531	3.68838	3.45603	3.74363	3.98521
1763180_s_at	yfeG	6.52665	6.34073	6.60998	6.66307	6.24232	6.34211	5.89782	6.12301	6.64035	6.1298	6.26255	6.24896	7.07249	7.23203	7.50075	6.45311	6.1891	6.32735
1763264_s_at	yfeH	9.94741	9.81302	9.68112	9.55528	9.44524	9.45708	8.89879	8.83292	8.9026	9.46962	9.40877	9.33608	10.8462	10.9565	10.9192	10.129	10.0933	10.2294
1759173_s_at	yfeK	7.99065	8.24658	8.25851	9.46621	9.40312	9.43493	10.5084	9.93426	10.107	9.50833	9.35185	9.31357	5.20985	4.86852	4.92973	7.2743	6.79813	6.86282
1763398_at	yfeN	6.47714	6.85682	7.00558	7.16166	7.09179	7.36441	8.44459	8.18303	8.1281	7.30922	7.62914	7.71382	6.42522	6.41617	6.55435	7.39647	6.97947	6.92028
1765566_s_at	yfeO	7.48811	7.31025	7.1654	7.11333	7.3575	7.12523	8.00751	8.86094	7.41901	7.92015	7.70371	7.90779	7.36317	7.21491	7.48329	8.44484	8.10965	7.97947
1760673_s_at	yfeR	9.11623	9.31808	9.18541	9.1346	9.20137	9.1212	9.87649	9.85279	9.60221	9.91787	10.1199	10.0648	8.81126	8.65828	8.54024	8.97315	9.2069	9.11611
1760449_at	yfeS	7.87909	8.02223	8.33973	9.01624	9.01409	9.29589	9.67824	9.23811	9.21216	8.924	9.01747	9.18169	5.23565	5.10591	5.00888	7.78639	7.78284	7.72916
1768736_s_at	yfeT	4.95011	4.70922	4.70139	4.71825	4.64516	4.68934	4.49818	4.78122	4.63292	4.70139	4.80774	4.62534	5.17799	4.96781	4.74317	4.58625	4.22022	4.40368
1759533_at	yfeW	8.44327	8.43775	8.33819	7.91105	8.24218	8.21919	8.42258	8.52071	8.34495	8.44325	8.33198	8.32347	6.88016	6.79467	6.62908	8.34326	8.58412	8.47944
